Company,Role,Location/Eligibility,Apply Link
Alpha TX Solutions,Lead Full‑Stack AI Engineer (Chatbot Specialist),Remote (PK OK),https://pk.linkedin.com/jobs/view/lead-full-stack-ai-engineer-chatbot-specialist-at-alpha-tx-solutions-4293830007
Wolt,"Product Lead, Conversational AI",Remote/Europe (time‑zone overlap),https://job-boards.greenhouse.io/wolt/jobs/7025718?utm_medium=website
Wolt,"Engineering Team Lead, Conversational AI",Remote/Europe (time‑zone overlap),https://job-boards.greenhouse.io/wolt/jobs/6754161
Dropbox,"Senior Machine Learning Engineer, Conversational AI",Remote — US (select locations),https://boards.greenhouse.io/dropbox/jobs/7132830
Dropbox,"Sr. ML Eng. Manager, Conversational AI",Remote — Canada (select locations),https://boards.greenhouse.io/embed/job_app?for=dropbox&token=7183797
Anthropic,Finance Systems AI Product Lead (Conversational Interfaces),US‑based (likely),https://job-boards.greenhouse.io/anthropic/jobs/4821896008
HubSpot (Breeze Assistant),"Senior Software Engineer I, Technical Lead (Conversational AI)",US/EMEA (role specific),https://boards.greenhouse.io/hubspotjobs/jobs/6992934
Kasisto,"Integration Engineer, Conversational AI Platform",Remote (role specific),https://job-boards.greenhouse.io/kasisto/jobs/8080281002
Observe.AI,Lead Machine Learning Engineer — NLP,Bengaluru (India) / Hybrid,https://job-boards.greenhouse.io/embed/job_board?for=observeai
PolyAI,Senior Software Engineer — Team Lead (Voice Assistants),London (office‑based/Hybrid),https://boards.greenhouse.io/polyai/jobs/4673166101
Cohere Health,Lead Machine Learning Engineer (NLP/RAG),Remote (US preferred),https://job-boards.greenhouse.io/coherehealth/jobs/6661679003
Consumer Reports,Lead AI/ML Engineer,Remote — US,https://job-boards.greenhouse.io/consumerreports/jobs/4531209007
Airbnb,"Staff Software Engineer, GenAI Systems (Assistant Evaluation)",US (role specific),https://boards.greenhouse.io/airbnb/jobs/7070086
Interface.ai,Multiple openings in Conversational AI (Banking),Remote/Global (varies),https://job-boards.greenhouse.io/interfaceai?error=true
Altak Group,Lead Product Owner (Gen AI & Chatbots),Pakistan,https://www.glassdoor.com/job-listing/lead-product-owner-gen-ai-altak-JV_KO0%2C25_KE26%2C31.htm?jl=1009826318397
